loss,amplitude_loss,delta_loss,gate_loss,sign_probability_loss,val_loss,val_amplitude_loss,val_delta_loss,val_gate_loss,val_sign_probability_loss,lr
0.12937933206558228,0.0003878904099110514,0.0014703579945489764,0.4440755844116211,0.06526639312505722,0.1245521530508995,0.00027235044399276376,0.0014276116853579879,0.42674770951271057,0.06368651241064072,0.0005
0.12924295663833618,0.00038544548442587256,0.0014682512264698744,0.44357502460479736,0.0652332529425621,0.12445805221796036,0.0002714116417337209,0.0014263701159507036,0.4263963997364044,0.06366720795631409,0.00025
0.12915723025798798,0.00038363950443454087,0.0014670053496956825,0.44326087832450867,0.06521192193031311,0.12435829639434814,0.00027045048773288727,0.0014252454275265336,0.42602208256721497,0.0636478140950203,0.00025
0.1290736198425293,0.00038186792517080903,0.0014657548163086176,0.4429504871368408,0.06519530713558197,0.12426311522722244,0.00026908257859759033,0.001424007466994226,0.4256642758846283,0.06363140046596527,0.00025
0.12899035215377808,0.0003802796418312937,0.0014644586481153965,0.44264641404151917,0.06517340242862701,0.12416897714138031,0.000268259464064613,0.0014226235216483474,0.4253157079219818,0.06360938400030136,0.00025
0.1289062649011612,0.00037834190879948437,0.001463306020013988,0.44233793020248413,0.06515292078256607,0.12407319992780685,0.0002669834066182375,0.0014215637929737568,0.42495864629745483,0.0635889396071434,0.00025
0.12882588803768158,0.00037648712168447673,0.0014621109003201127,0.442043662071228,0.06513289362192154,0.123982734978199,0.000266025512246415,0.001420403365045786,0.4246218800544739,0.06356924772262573,0.00025
0.1287459135055542,0.00037465683999471366,0.0014607720077037811,0.44175204634666443,0.06511250883340836,0.12389075756072998,0.00026487227296456695,0.0014189985813573003,0.4242800772190094,0.0635499358177185,0.00025
0.12866489589214325,0.0003730860771611333,0.0014595288084819913,0.441454142332077,0.0650932639837265,0.12379880994558334,0.000263674563029781,0.001417812192812562,0.42393970489501953,0.06352849304676056,0.00025
0.12858477234840393,0.000371390808140859,0.001458213315345347,0.4411638677120209,0.06507059931755066,0.12370359152555466,0.0002625897468533367,0.0014164901804178953,0.42358678579330444,0.06350675225257874,0.00025
0.12850406765937805,0.0003695074701681733,0.0014571278588846326,0.4408685863018036,0.06504984945058823,0.12361326068639755,0.00026115478249266744,0.0014154176460579038,0.42325326800346375,0.06348483264446259,0.00025
0.12844541668891907,0.000367829023161903,0.0014563117874786258,0.44065719842910767,0.06503231078386307,0.12356770038604736,0.00026044619153253734,0.0014149044873192906,0.42308515310287476,0.06347360461950302,0.000125
0.1284051388502121,0.00036679100594483316,0.0014557860558852553,0.44050976634025574,0.06502214074134827,0.12352099269628525,0.0002597604179754853,0.0014143328880891204,0.4229130744934082,0.06346192955970764,0.000125
